Nama Restoran,Lokasi Restoran,Harga Rata-Rata Makanan di Toko (Rp),Rating Toko,Variasi Makanan
Lapis Sultan Jogja,"Jl. Palagan Km 7.5 No. 8A, Sleman, Yogyakarta",75000,4.7,Lapis Legit Prune
Lapis Sultan Jogja,"Jl. Palagan Km 7.5 No. 8A, Sleman, Yogyakarta",75000,4.7,Lapis Legit Keju
Holland Bakery,"Jl. Sudirman No. 48, Yogyakarta",176000,4.5,Lapis Legit
Holland Bakery,"Jl. Sudirman No. 48, Yogyakarta",176000,4.5,Roti Tawar
Holland Bakery,"Jl. Sudirman No. 48, Yogyakarta",176000,4.5,Donat
Soto Blengong Pak Gino,"Jalan Malioboro, Yogyakarta",15000,4.6,Soto Blengong
Soto Blengong Pak Gino,"Jalan Malioboro, Yogyakarta",15000,4.6,Sate Usus
Soto Blengong Pak Gino,"Jalan Malioboro, Yogyakarta",15000,4.6,Perkedel
Soto Blengong Kadipiro,"Jl. Wates No. 33, Bantul, Yogyakarta",17000,4.7,Soto Blengong
Soto Blengong Kadipiro,"Jl. Wates No. 33, Bantul, Yogyakarta",17000,4.7,Sate Puyuh
Soto Blengong Kadipiro,"Jl. Wates No. 33, Bantul, Yogyakarta",17000,4.7,Tempe Goreng
Soto Blengong Pak Marto,"Jl. Mayor Jenderal S. Parman No. 44, Ngampilan, Yogyakarta",10000,4.5,Soto Blengong Babat
Soto Blengong Pak Marto,"Jl. Mayor Jenderal S. Parman No. 44, Ngampilan, Yogyakarta",10000,4.5,Soto Daging
Soto Blengong Mbah Karto,"Jl. Kranggan No. 2, Jetis, Yogyakarta",6000,4.4,Soto Blengong
Soto Blengong Mbah Karto,"Jl. Kranggan No. 2, Jetis, Yogyakarta",6000,4.4,Soto Daging
